01C031,"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1"
01C032,"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2"
01C033,"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3"
01C034,"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4"
01C041,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1"
01C042,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2"
01C043,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3"
01C044,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4"
01C051,"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1"
01C052,"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2"
01C053,"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3"
01C054,"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4"
01C061,"Interventions sur le système vasculaire précérébral, niveau 1"
01C062,"Interventions sur le système vasculaire précérébral, niveau 2"
01C063,"Interventions sur le système vasculaire précérébral, niveau 3"
01C064,"Interventions sur le système vasculaire précérébral, niveau 4"
01C08J,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire"
01C081,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1"
01C082,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2"
01C083,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3"
01C084,"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4"
01C091,"Pose d'un stimulateur cérébral, niveau 1"
01C092,"Pose d'un stimulateur cérébral, niveau 2"
01C093,"Pose d'un stimulateur cérébral, niveau 3"
01C094,"Pose d'un stimulateur cérébral, niveau 4"
01C10J,"Pose d'un stimulateur médullaire, en ambulatoire"
01C101,"Pose d'un stimulateur médullaire, niveau 1"
01C102,"Pose d'un stimulateur médullaire, niveau 2"
01C103,"Pose d'un stimulateur médullaire, niveau 3"
01C104,"Pose d'un stimulateur médullaire, niveau 4"
01C111,"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1"
01C112,"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2"
01C113,"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3"
01C114,"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4"
01C121,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1"
01C122,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2"
01C123,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3"
01C124,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4"
01C14J,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire"
01C141,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1"
01C142,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2"
01C143,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 3"
01C144,"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 4"
01C15J,"Libérations du médian au canal carpien, en ambulatoire"
01C151,"Libérations du médian au canal carpien, niveau 1"
01C152,"Libérations du médian au canal carpien, niveau 2"
01C153,"Libérations du médian au canal carpien, niveau 3"
01C154,"Libérations du médian au canal carpien, niveau 4"
01K021,"Autres embolisations intracrâniennes et médullaires, niveau 1"
01K022,"Autres embolisations intracrâniennes et médullaires, niveau 2"
01K023,"Autres embolisations intracrâniennes et médullaires, niveau 3"
01K024,"Autres embolisations intracrâniennes et médullaires, niveau 4"
01K031,"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 1"
01K032,"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 2"
01K033,"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 3"
01K034,"Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 4"
01K04J,"Injections de toxine botulique, en ambulatoire"
01K05J,"Séjours pour douleurs chroniques rebelles comprenant un bloc ou une infiltration, en ambulatoire"
01K06J,"Affections du système nerveux sans acte opératoire avec anesthésie, en ambulatoire"
01K071,"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 1"
01K072,"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 2"
01K073,"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 3"
01K074,"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 4"
01M04T,"Méningites virales, très courte durée"
01M041,"Méningites virales, niveau 1"
01M042,"Méningites virales, niveau 2"
01M043,"Méningites virales, niveau 3"
01M044,"Méningites virales, niveau 4"
01M05T,"Infections du système nerveux à l'exception des méningites virales, très courte durée"
01M051,"Infections du système nerveux à l'exception des méningites virales, niveau 1"
01M052,"Infections du système nerveux à l'exception des méningites virales, niveau 2"
01M053,"Infections du système nerveux à l'exception des méningites virales, niveau 3"
01M054,"Infections du système nerveux à l'exception des méningites virales, niveau 4"
01M07T,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée"
01M071,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 1"
01M072,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 2"
01M073,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 3"
01M074,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 4"
01M08T,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée"
01M081,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 1"
01M082,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 2"
01M083,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 3"
01M084,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 4"
01M09T,"Affections et lésions du rachis et de la moelle, très courte durée"
01M091,"Affections et lésions du rachis et de la moelle, niveau 1"
01M092,"Affections et lésions du rachis et de la moelle, niveau 2"
01M093,"Affections et lésions du rachis et de la moelle, niveau 3"
01M094,"Affections et lésions du rachis et de la moelle, niveau 4"
01M10T,"Autres affections cérébrovasculaires, très courte durée"
01M101,"Autres affections cérébrovasculaires, niveau 1"
01M102,"Autres affections cérébrovasculaires, niveau 2"
01M103,"Autres affections cérébrovasculaires, niveau 3"
01M104,"Autres affections cérébrovasculaires, niveau 4"
01M11T,"Affections des nerfs crâniens et rachidiens, très courte durée"
01M111,"Affections des nerfs crâniens et rachidiens, niveau 1"
01M112,"Affections des nerfs crâniens et rachidiens, niveau 2"
01M113,"Affections des nerfs crâniens et rachidiens, niveau 3"
01M114,"Affections des nerfs crâniens et rachidiens, niveau 4"
01M12T,"Autres affections du système nerveux, très courte durée"
01M121,"Autres affections du système nerveux, niveau 1"
01M122,"Autres affections du système nerveux, niveau 2"
01M123,"Autres affections du système nerveux, niveau 3"
01M124,"Autres affections du système nerveux, niveau 4"
01M131,"Troubles de la conscience et comas d'origine non traumatique, niveau 1"
01M132,"Troubles de la conscience et comas d'origine non traumatique, niveau 2"
01M133,"Troubles de la conscience et comas d'origine non traumatique, niveau 3"
01M134,"Troubles de la conscience et comas d'origine non traumatique, niveau 4"
01M15T,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très courte durée"
01M151,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 1"
01M152,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 2"
01M153,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 3"
01M154,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 4"
01M16T,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte durée"
01M161,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 1"
01M162,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 2"
01M163,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 3"
01M164,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 4"
01M17T,"Sclérose en plaques et ataxie cérébelleuse, très courte durée"
01M171,"Sclérose en plaques et ataxie cérébelleuse, niveau 1"
01M172,"Sclérose en plaques et ataxie cérébelleuse, niveau 2"
01M173,"Sclérose en plaques et ataxie cérébelleuse, niveau 3"
01M174,"Sclérose en plaques et ataxie cérébelleuse, niveau 4"
01M18T,"Lésions traumatiques intracrâniennes sévères, très courte durée"
01M181,"Lésions traumatiques intracrâniennes sévères, niveau 1"
01M182,"Lésions traumatiques intracrâniennes sévères, niveau 2"
01M183,"Lésions traumatiques intracrâniennes sévères, niveau 3"
01M184,"Lésions traumatiques intracrâniennes sévères, niveau 4"
01M191,"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1"
01M192,"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 2"
01M193,"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 3"
01M194,"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 4"
01M201,"Commotions cérébrales, niveau 1"
01M202,"Commotions cérébrales, niveau 2"
01M203,"Commotions cérébrales, niveau 3"
01M204,"Commotions cérébrales, niveau 4"
01M21T,"Douleurs chroniques rebelles, très courte durée"
01M211,"Douleurs chroniques rebelles, niveau 1"
01M212,"Douleurs chroniques rebelles, niveau 2"
01M213,"Douleurs chroniques rebelles, niveau 3"
01M214,"Douleurs chroniques rebelles, niveau 4"
01M22T,"Migraines et céphalées, très courte durée"
01M221,"Migraines et céphalées, niveau 1"
01M222,"Migraines et céphalées, niveau 2"
01M223,"Migraines et céphalées, niveau 3"
01M224,"Migraines et céphalées, niveau 4"
01M231,"Convulsions hyperthermiques, niveau 1"
01M232,"Convulsions hyperthermiques, niveau 2"
01M233,"Convulsions hyperthermiques, niveau 3"
